city,location,area,no._of_bedrooms,price
hyderabad,Nallakunta,1460,3.0,112.0
hyderabad,Malkajgiri,1175,2.0,42.0
hyderabad,Kompally,1360,2.0,49.0
hyderabad,Kondapur,1220,2.0,75.54
hyderabad,Kondapur,1885,3.0,113.99999
hyderabad,Kondapur,1165,2.0,72.4
hyderabad,Jubilee Hills,1295,2.0,96.0
hyderabad,Jubilee Hills,1295,2.0,96.0
hyderabad,Jubilee Hills,1295,2.0,96.0
hyderabad,Jubilee Hills,1295,2.0,96.0
hyderabad,Jubilee Hills,1295,2.0,96.0
hyderabad,Jubilee Hills,1295,2.0,102.0
hyderabad,Jubilee Hills,1670,3.0,125.0
hyderabad,Jubilee Hills,1670,3.0,125.0
hyderabad,Bandlaguda Jagir,1200,2.0,48.0
hyderabad,Bandlaguda Jagir,1200,2.0,48.0
hyderabad,Jubilee Hills,1670,3.0,125.0
hyderabad,Nanakramguda,2460,3.0,168.0
hyderabad,Saroornagar,1040,2.0,40.0
hyderabad,Beeramguda,1107,2.0,36.0
hyderabad,Begumpet,1050,2.0,60.0
hyderabad,Begumpet,1050,2.0,60.0
hyderabad,Banjara Hills,2900,3.0,333.0
hyderabad,Hitech City,1150,2.0,86.25
hyderabad,Saroornagar,1040,2.0,40.0
hyderabad,Beeramguda,1107,2.0,36.0
hyderabad,Beeramguda,850,2.0,40.0
hyderabad,Begumpet,1050,2.0,60.0
hyderabad,Begumpet,1050,2.0,60.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Beeramguda,1080,2.0,35.0
hyderabad,Boduppal,1100,2.0,23.0
hyderabad,Boduppal,1100,2.0,23.0
hyderabad,Somajiguda,1745,3.0,120.0
hyderabad,Nagole,970,2.0,25.0
hyderabad,Kukatpally,1090,2.0,57.77
hyderabad,Kukatpally,1435,3.0,76.05
hyderabad,Beeramguda,684,1.0,26.0
hyderabad,Beeramguda,1040,2.0,45.0
hyderabad,Beeramguda,850,2.0,30.0
hyderabad,Beeramguda,1150,2.0,32.0
hyderabad,Neknampur,1605,3.0,70.0
hyderabad,Beeramguda,850,2.0,30.0
hyderabad,Beeramguda,1150,2.0,32.0
hyderabad,Neknampur,1605,3.0,70.0
hyderabad,Mallapur,1000,2.0,55.0
hyderabad,Kukatpally,1090,2.0,57.77
hyderabad,Kukatpally,1435,3.0,76.05
hyderabad,Nagole,1635,3.0,85.02
hyderabad,Nagole,1585,3.0,82.42
hyderabad,Ambedkar Nagar,1000,2.0,34.0
hyderabad,Gachibowli,1035,2.0,95.0
hyderabad,Hafeezpet,1000,2.0,50.0
hyderabad,Saroornagar,1260,2.0,47.88
hyderabad,Beeramguda,950,2.0,28.8
hyderabad,Gachibowli,850,2.0,55.0
hyderabad,Nanakramguda,1260,2.0,85.0
hyderabad,Saroornagar,1050,2.0,55.0
hyderabad,Bachupally,1250,2.0,44.0
hyderabad,Kondapur,1908,3.0,140.0
hyderabad,Gajularamaram,1555,3.0,69.31
hyderabad,Narsingi,1720,3.0,120.0
hyderabad,Rajendra Nagar,1327,3.0,75.4
hyderabad,Rajendra Nagar,1110,3.0,62.9
hyderabad,Rajendra Nagar,941,2.0,52.9
hyderabad,Boduppal,1200,2.0,55.8
hyderabad,Manikonda,1200,1.0,43.0
hyderabad,Vanasthalipuram,1390,3.0,55.6
hyderabad,Amberpet,540,1.0,24.0
hyderabad,Gachibowli,1717,2.0,125.0
hyderabad,Gachibowli,1717,2.0,125.0
hyderabad,Mehdipatnam,900,2.0,35.7
hyderabad,Bandlaguda Jagir,2150,3.0,126.0
hyderabad,Moula Ali,810,2.0,48.0
hyderabad,Bandlaguda Jagir,1985,3.0,116.0
hyderabad,Kondapur,1555,3.0,95.63
hyderabad,Moula Ali,810,2.0,48.0
hyderabad,Bandlaguda Jagir,1985,3.0,116.0
hyderabad,Kondapur,1555,3.0,95.63
hyderabad,Mehdipatnam,1050,2.0,36.0
hyderabad,Mallapur,1014,2.0,45.0
hyderabad,Kompally,1085,2.0,39.0
hyderabad,Kompally,1100,2.0,58.0
hyderabad,Nizampet,1050,2.0,35.0
hyderabad,Nizampet,1050,2.0,35.0
hyderabad,Kukatpally,1860,3.0,113.99999
hyderabad,Kukatpally,1860,3.0,113.99999
hyderabad,Banjara Hills,3000,3.0,350.0
hyderabad,Banjara Hills,3000,3.0,350.0
hyderabad,Nallagandla Gachibowli,955,2.0,45.0
hyderabad,Gandipet,1155,2.0,45.0
hyderabad,Nizampet,1120,2.0,35.0
hyderabad,Nizampet,850,2.0,35.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Narsingi,966,2.0,39.6
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Kachiguda,1000,2.0,38.0
hyderabad,Mehdipatnam,1050,2.0,41.0
hyderabad,Alwal,1575,3.0,55.0
hyderabad,Nacharam,1700,3.0,96.0
hyderabad,Nacharam,1700,3.0,96.0
hyderabad,Pragathi Nagar Kukatpally,1535,3.0,67.95
hyderabad,Nizampet,940,2.0,36.0
hyderabad,Nizampet,1060,2.0,34.0
hyderabad,Nizampet,1015,2.0,35.0
hyderabad,Nizampet,1015,2.0,35.0
hyderabad,Narsingi,1600,3.0,50.0
hyderabad,Kondapur,1150,2.0,70.0
hyderabad,Narsingi,1500,2.0,55.0
hyderabad,Nizampet,1000,2.0,38.7
hyderabad,Kompally,1208,2.0,58.0
hyderabad,Kondapur,1150,2.0,70.0
hyderabad,Narsingi,1500,2.0,55.0
hyderabad,Kukatpally,1700,3.0,112.99999
hyderabad,Masab Tank,1170,2.0,45.0
hyderabad,Kukatpally,1090,2.0,73.17
hyderabad,Kukatpally,1090,2.0,73.17
hyderabad,Nizampet,1050,2.0,38.0
hyderabad,Malkajgiri,1425,3.0,48.5
hyderabad,Bolarum,1060,2.0,40.1
hyderabad,Bachupally,1130,2.0,35.5
hyderabad,Nizampet,930,2.0,33.0
hyderabad,Nizampet,1085,2.0,35.0
hyderabad,Nizampet,1120,2.0,46.0
hyderabad,Appa Junction,1506,2.0,85.0
hyderabad,Appa Junction,1506,2.0,85.0
hyderabad,Nagole,1650,3.0,55.0
hyderabad,Nagole,1650,3.0,55.0
hyderabad,Nizampet,1200,2.0,39.0
